kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
9480189,K00941.02,Kepler-257 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.382652873,170.66626,0.682,1.8888,705.4,2.74,1237.0,553.53,45.5,3,q1_q17_dr25_tce,5188.0,4.4,0.973,297.31598,46.023258,15.471
9480189,K00941.03,Kepler-257 d,CONFIRMED,CANDIDATE,1.0,0,0,0,0,24.66461416,189.02031,0.8,2.8579,2398.8,5.34,567.0,24.53,56.7,2,q1_q17_dr25_tce,5188.0,4.4,0.973,297.31598,46.023258,15.471
9512687,K00942.01,Kepler-735 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,11.51517167,174.85855,0.311,2.006,1357.4,2.9,657.0,43.96,53.2,1,q1_q17_dr25_tce,5177.0,4.59,0.798,284.68887,46.172249,15.386
9513865,K00943.01,Kepler-736 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,3.601465336,171.99184,0.021,2.2753,777.7,2.31,996.0,232.65,50.7,1,q1_q17_dr25_tce,5052.0,4.48,0.855,285.39133,46.180939,15.733
9605514,K00945.01,Kepler-1666 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,25.8474958,188.874,0.054,5.985,537.4,2.4,672.0,48.23,27.3,2,q1_q17_dr25_tce,6297.0,4.448,1.031,297.9516,46.264721,15.083
9605514,K00945.02,Kepler-1666 c,CONFIRMED,CANDIDATE,0.999,0,0,0,0,40.715561,146.36485,0.008,6.894,680.9,2.7,578.0,26.34,28.9,1,q1_q17_dr25_tce,6297.0,4.448,1.031,297.9516,46.264721,15.083
9710326,K00947.01,Kepler-737 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,28.59914031,189.92667,0.009,3.6567,1585.1,1.83,298.0,1.87,53.8,1,q1_q17_dr25_tce,3755.0,4.781,0.461,291.86285,46.42926,15.19
9761882,K00948.01,Kepler-738 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,24.58716355,173.70572,0.648,3.984,907.5,2.37,530.0,18.72,35.6,1,q1_q17_dr25_tce,5474.0,4.605,0.749,287.56967,46.56786,15.598
9766437,K00949.01,Kepler-739 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,12.53248222,170.76535,0.668,4.0168,1145.9,3.24,775.0,85.15,66.7,1,q1_q17_dr25_tce,5997.0,4.522,0.904,290.06799,46.57914,15.485
9775938,K00951.01,Kepler-258 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,13.19720694,171.545479,0.568,3.4872,2141.4,4.18,642.0,40.03,116.2,1,q1_q17_dr25_tce,4954.0,4.462,0.885,294.06848,46.57933,15.223
9775938,K00951.02,Kepler-258 c,CONFIRMED,CANDIDATE,0.982,0,0,0,0,33.6528474,147.8025,0.567,3.9616,1140.8,3.05,470.0,11.5,41.9,2,q1_q17_dr25_tce,4954.0,4.462,0.885,294.06848,46.57933,15.223
9787239,K00952.01,Kepler-32 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,5.90127815,171.40674,0.03,2.1979,1525.2,1.94,514.0,16.54,56.6,1,q1_q17_dr25_tce,3731.0,4.75,0.498,297.84241,46.574268,15.801
9787239,K00952.02,Kepler-32 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,8.75209691,170.63671,0.017,2.3742,1367.6,1.83,451.0,9.76,44.8,3,q1_q17_dr25_tce,3731.0,4.75,0.498,297.84241,46.574268,15.801
9787239,K00952.03,Kepler-32 d,CONFIRMED,CANDIDATE,1.0,0,0,0,0,22.78078241,155.20408,0.008,3.3002,1925.1,2.17,328.0,2.73,46.4,2,q1_q17_dr25_tce,3731.0,4.75,0.498,297.84241,46.574268,15.801
9787239,K00952.04,Kepler-32 e,CONFIRMED,CANDIDATE,0.968,0,0,0,0,2.896005211,133.61228,0.082,1.6776,614.1,1.23,652.0,42.53,28.6,4,q1_q17_dr25_tce,3731.0,4.75,0.498,297.84241,46.574268,15.801
9787239,K00952.05,Kepler-32 f,CONFIRMED,CANDIDATE,0.996,0,0,0,0,0.742957911,133.27936,0.162,0.6688,843.3,1.47,1026.0,262.51,45.3,5,q1_q17_dr25_tce,3731.0,4.75,0.498,297.84241,46.574268,15.801
9820483,K00953.01,Kepler-740 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,3.584101048,170.427829,0.045,2.7316,2608.1,4.66,1131.0,386.66,166.3,1,q1_q17_dr25_tce,5739.0,4.518,0.922,286.48227,46.692451,15.954
9823457,K00954.01,Kepler-259 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,8.11528727,174.52257,0.916,3.211,834.9,3.1,879.0,140.92,59.1,1,q1_q17_dr25_tce,5926.0,4.532,0.887,288.21194,46.615002,15.219
9823457,K00954.02,Kepler-259 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,36.9250409,174.22246,0.838,4.9381,902.0,3.01,530.0,18.7,39.3,2,q1_q17_dr25_tce,5926.0,4.532,0.887,288.21194,46.615002,15.219
9825625,K00955.01,Kepler-741 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,7.03902016,175.73059,0.015,3.8633,529.8,2.45,1051.0,288.92,54.3,1,q1_q17_dr25_tce,6321.0,4.434,1.058,289.4317,46.617531,15.067
9875711,K00956.01,Kepler-742 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,8.360870704,175.64459,0.494,2.7144,2039.7,3.67,690.0,53.68,120.9,1,q1_q17_dr25_tce,4743.0,4.516,0.81,283.86603,46.789589,15.223
1026957,K00958.01,Kepler-1731 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,21.76129812,166.540438,0.123,1.243,1300.7,2.53,486.0,13.18,60.0,1,q1_q17_dr25_tce,4859.0,4.612,0.72,291.25449,36.74361,12.559
8561063,K00961.01,Kepler-42 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,1.213770423,170.483645,0.83,0.5532,1821.0,0.78,525.0,18.03,111.4,1,q1_q17_dr25_tce,3292.0,5.215,0.148,292.21906,44.61916,15.92
8561063,K00961.02,Kepler-42 c,CONFIRMED,FALSE POSITIVE,0.0,0,1,0,0,0.453287416,133.869741,0.81,0.4445,1461.5,0.76,729.0,66.14,150.4,3,q1_q17_dr25_tce,3292.0,5.215,0.148,292.21906,44.61916,15.92
8561063,K00961.03,Kepler-42 d,CONFIRMED,CANDIDATE,1.0,0,0,0,0,1.865114193,133.792344,0.785,0.4279,1124.8,0.66,455.0,10.1,56.9,2,q1_q17_dr25_tce,3292.0,5.215,0.148,292.21906,44.61916,15.92
3632418,K00975.01,Kepler-21 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.785821236,260.83731,0.893,3.5599,68.9,1.69,1784.0,2388.98,53.6,1,q1_q17_dr25_tce,6202.0,4.026,1.733,287.36182,38.714016,8.224
1161345,K00984.01,Kepler-1973 b,CONFIRMED,CANDIDATE,0.711,0,0,0,0,4.28746668,262.06245,0.374,1.5693,790.1,2.29,942.0,186.31,19.4,1,q1_q17_dr25_tce,5296.0,4.576,0.815,291.0488,36.839882,11.631
2854698,K00986.01,Kepler-260 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,8.18739443,260.86931,0.377,3.0472,517.6,1.92,782.0,88.36,38.4,1,q1_q17_dr25_tce,5251.0,4.494,0.849,291.92596,38.014118,14.138
2854698,K00986.02,Kepler-260 c,CONFIRMED,CANDIDATE,0.881,0,0,0,0,76.0498163,161.71445,0.015,7.158,445.9,1.75,372.0,4.53,17.4,2,q1_q17_dr25_tce,5251.0,4.494,0.849,291.92596,38.014118,14.138
7295235,K00987.01,Kepler-743 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,3.179267286,261.841607,0.171,1.0246,200.9,1.21,1101.0,347.01,41.0,1,q1_q17_dr25_tce,5511.0,4.554,0.857,295.57416,42.806438,12.55
2302548,K00988.01,Kepler-261 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,10.38122447,268.02421,0.319,2.715,801.5,2.18,672.0,48.37,41.9,1,q1_q17_dr25_tce,5095.0,4.566,0.78,291.36478,37.609169,13.562
2302548,K00988.02,Kepler-261 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,24.5709023,135.87209,0.945,3.587,764.2,2.82,505.0,15.33,26.3,2,q1_q17_dr25_tce,5095.0,4.566,0.78,291.36478,37.609169,13.562
10154388,K00991.01,Kepler-744 b,CONFIRMED,CANDIDATE,0.999,0,0,0,0,12.06222962,138.22229,0.392,2.0584,300.2,1.62,750.0,74.8,32.4,1,q1_q17_dr25_tce,5547.0,4.451,0.933,296.49612,47.182861,13.581
1432789,K00992.01,Kepler-745 b,CONFIRMED,CANDIDATE,0.848,0,0,0,0,9.93146307,136.49128,0.037,5.678,398.6,2.41,931.0,177.83,26.2,1,q1_q17_dr25_tce,5782.0,4.28,1.22,291.49942,37.05928,15.214
1718189,K00993.01,Kepler-262 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,21.85362905,144.32031,0.676,3.439,355.6,1.75,618.0,34.57,23.0,1,q1_q17_dr25_tce,5830.0,4.54,0.876,290.72867,37.252651,14.246
1718189,K00993.02,Kepler-262 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,13.0607936,137.63148,0.718,3.215,236.6,1.45,734.0,68.66,19.4,2,q1_q17_dr25_tce,5830.0,4.54,0.876,290.72867,37.252651,14.246
2165002,K00999.01,Kepler-263 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,16.56806842,146.15285,0.164,4.2647,1331.4,2.54,548.0,21.27,41.9,1,q1_q17_dr25_tce,4987.0,4.602,0.716,292.46976,37.567791,15.391
